ID,Smiles
ZINC00000432,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21
ZINC00000582,CC(CN1c2ccccc2S(=O)(=O)c2ccccc21)C[NH+](C)C
ZINC00000640,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1
ZINC00001246,Cc1ccccc1N1CC[NH+](CCc2nnc3n2CCCC3)CC1
ZINC00001639,C[NH+]1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
ZINC00002112,Cc1cc([N-]S(=O)(=O)c2ccc(N)cc2)n(-c2ccccc2)n1
ZINC00004035,Cc1[nH+]ccn1CC1CCc2c(c3cccc4c3n2CCC4)C1=O
ZINC00005258,Nc1[nH+]c(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
ZINC00005871,COc1ccc(C2(C#N)CCC(C(=O)[O-])CC2)cc1OC1CCCC1
ZINC00005936,CC(C(O)c1ccc(O)cc1)[NH+]1CCC(O)(c2ccccc2)CC1
ZINC00005959,COC(=O)C(c1ccccc1Cl)[NH+]1CCc2sccc2C1
ZINC00007258,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CC[NH2+]CC2)n1
ZINC00007460,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1
ZINC00008732,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1
ZINC00013894,Cn1nc(C(=O)NC2CC3CCCC(C2)[NH+]3C)c2cccc(O)c21
ZINC00024890,CC1(C)CCSc2ccc(C#Cc3ccc(C(=O)[O-])cn3)cc21
ZINC00024923,Oc1cnc2c(c1)CCc1cc(Cl)ccc1C2=C1CC[NH2+]CC1
ZINC00039870,O=c1[nH]c(=O)n(C2CCC(CO)O2)cc1I
ZINC00057255,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
ZINC00057400,COc1ccc2c(c1)N(CC(C)C[NH+](C)C)c1ccccc1S2
ZINC00057439,CN1CCC[NH+]=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1
ZINC00057474,CC[NH+]1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1
ZINC00058294,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2[NH+](C)C1
ZINC00070699,CCc1ccc(-c2csc(Nc3ccc(C(=O)[O-])c(O)c3)n2)cc1
ZINC00070729,Cc1cc(-c2csc(Nc3ccc(C(=O)[O-])cc3)n2)ccc1F
ZINC00074864,Cc1ccccc1Oc1ccc(S(=O)(=O)NC(C)C(=O)[O-])cc1
ZINC00078783,FC(F)(F)c1ccc(-c2nnc3ccc(N4CCCCC4)nn23)cc1
ZINC00079001,CCn1c(NCC[NH+](CC)CC)nc2c1c(=O)n(C)c(=O)n2C
ZINC00083278,Cc1cc(C)c(COc2ccc3c(c2C)OC(C)(C)CC3=O)c(C)c1
ZINC00090108,Cc1cc(NCC2CC2)n2nc(Nc3cc(Cl)ccc3C)nc2n1
ZINC00108774,Cc1nc(-c2ccccn2)nc(NCCc2ccccc2)c1Cl
ZINC00109976,COc1ccc(OC(=O)c2c(C)nn(-c3ccccc3)c2C)cc1
ZINC00112753,Cc1ccc(C(=O)N2CCC(C(=O)c3c(C)cc(C)cc3C)CC2)cc1
ZINC00112938,CCOC(=O)c1[nH]c2cc(Cl)cc(Cl)c2c1CCC(=O)[O-]
ZINC00116276,COC(=O)c1sccc1S(=O)(=O)[N-]c1ccc(Cl)cc1
ZINC00119712,CCN(CC)c1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccc(F)cc1
ZINC00141547,CCOC(=O)c1cnn(-c2c(Cl)cc(Cl)cc2Cl)c1C
ZINC00148172,Cc1c(Cl)cccc1NC(=O)Nc1cc(C(C)(C)C)nn1C
ZINC00162233,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(Cl)cc1
ZINC00165717,O=C([O-])CCc1cc(Br)c(O)c(Br)c1
ZINC00172448,CC1CCN(S(=O)(=O)c2ccc(Cl)c3ccccc23)CC1
ZINC00182467,COC(=O)C1=C(C)N(C)C(C)=C(C(=O)OC)C1c1cccc(Cl)c1
ZINC00189161,CCC(=O)OCC1OC(n2ccc(=O)[nH]c2=O)CC1OC(=O)CC
ZINC00199478,Clc1ccc(C[NH+]2CCN(c3cccc[nH+]3)CC2)c(Cl)c1
ZINC00210659,CC(C[NH+]1C(C)CCCC1C)OC(=O)c1ccc(C(C)(C)C)cc1
ZINC00225636,CC1(C)CC(=O)c2sc(NC(=O)c3ccccc3)c(C#N)c2C1
ZINC00226319,CN(C)c1cccc2c(S(=O)(=O)Nc3ccccn3)cccc12
ZINC00234739,CCc1ccc(S(=O)(=O)N2CCN(c3ccccc3)CC2)cc1
ZINC00236193,Nc1ccc2oc(-c3ccc(-c4nc5cc(N)ccc5o4)cc3)nc2c1
ZINC00236221,Cc1ccc2nc(-c3cccc(-c4nc5ccc(C)cc5o4)c3)oc2c1
ZINC00264281,Cc1c(Br)c(=O)oc2c(Br)c(O)ccc12
ZINC00266838,CCOc1ccc(C(=O)Nc2ccc(OC)c(OC)c2)cc1Cl
ZINC00274889,Cc1ccc(NCc2nc3ccccc3n2Cc2ccccc2)cc1
ZINC00291004,O=C(Nc1cccc(Br)c1)c1cc2ccccc2cc1O
ZINC00294550,Oc1c(Cl)cc(-c2cc(Cl)c(O)c(Cl)c2)cc1Cl
ZINC00304562,O=c1c(-c2ccc(Br)cc2)coc2cc(O)cc(O)c12
ZINC00318759,O=S(=O)(NCc1ccc(Cl)cc1)c1ccc2ccccc2c1
ZINC00366960,COc1ccc(-c2oc3ncnc(N)c3c2-c2ccc(OC)cc2)cc1
ZINC00378174,O=C([O-])c1cccc(Nc2ncnc3c2cnn3-c2ccccc2)c1
ZINC00381912,Cc1ccc(NCC(O)Cn2c3c(c4ccccc42)CCCC3)cc1
ZINC00383611,Cc1cccc(C(=O)Oc2ccccc2C(=O)Oc2ccccc2)c1
ZINC00387001,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(NCC(C)O)c(F)c21
ZINC00388234,Oc1c(Br)cc(Br)cc1Br
ZINC00393260,O=C([O-])CCc1c2ccccc2c(CCC(=O)[O-])c2ccccc12
ZINC00395339,OC(COc1ccc(Cl)cc1)C(O)COc1ccc(Cl)cc1
ZINC00395736,O=C([O-])CNC(=O)Cc1ccc(OCc2ccccc2)c(Cl)c1
ZINC00395745,CCc1c(OCC(O)C[NH2+]C(C)C)cc(C)c(OC(C)=O)c1C
ZINC00398999,O=C(CC1(c2ccccc2)C(=O)c2ccccc2C1=O)c1ccccc1
ZINC00402830,C[NH+]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
ZINC00403010,CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1
ZINC00405065,Oc1c(Br)cc(-c2ccccc2)cc1Br
ZINC00406534,COc1nc2ccccc2nc1NS(=O)(=O)c1ccc(N)cc1
ZINC00409800,O=C([O-])CCCC1CCC(CC2CCC(CCC(=O)[O-])CC2)CC1
ZINC00427056,CCC(C)NC(=O)C1(C)CCC(=O)N1Cc1ccccc1Cl
ZINC00432083,CC(=O)c1sc(Nc2ccc(Oc3ccccc3)cc2)nc1C
ZINC00449724,O=S(=O)(NC1C2CC3CC(C2)CC1C3)c1ccc(Cl)cc1
ZINC00455071,Cc1c(Cl)cccc1NC(=O)CC[NH+]1CCC(C(N)=O)CC1
ZINC00471900,COC(=O)c1ccc(COC(=O)c2cc3ccccc3oc2=O)cc1
